,dealer_up_card,dealer_up_card_value,dealer_final_hand_value,dealer_busted,dealer_blackjack,dealer_final_hand,player_hand,player_hand_value,player_busted,player_blackjack,player_won,player_stack
44,JC,10,20,False,False,"[<Card.Card object at 0x000001E8220649A0>, <Card.Card object at 0x000001E82201D040>]","[<Card.Card object at 0x000001E822026520>, <Card.Card object at 0x000001E822064A90>]",17,False,False,0,
45,8D,8,22,True,False,"[<Card.Card object at 0x000001E822077D30>, <Card.Card object at 0x000001E82201FA30>, <Card.Card object at 0x000001E822082790>]","[<Card.Card object at 0x000001E8220778B0>, <Card.Card object at 0x000001E822022040>, <Card.Card object at 0x000001E82201D1F0>]",15,False,False,0,
46,7H,7,17,False,False,"[<Card.Card object at 0x000001E82207DE80>, <Card.Card object at 0x000001E82201DE50>]","[<Card.Card object at 0x000001E822024A00>, <Card.Card object at 0x000001E822077250>]",13,False,False,0,
47,6S,6,20,False,False,"[<Card.Card object at 0x000001E82201BA30>, <Card.Card object at 0x000001E82201D460>, <Card.Card object at 0x000001E82205E970>]","[<Card.Card object at 0x000001E822074190>, <Card.Card object at 0x000001E82205E880>]",20,False,False,0,
48,2C,2,22,True,False,"[<Card.Card object at 0x000001E822082160>, <Card.Card object at 0x000001E822026B50>, <Card.Card object at 0x000001E822082DC0>]","[<Card.Card object at 0x000001E822082B50>, <Card.Card object at 0x000001E80FE22C70>, <Card.Card object at 0x000001E822074160>]",20,False,False,0,
49,6H,6,20,False,False,"[<Card.Card object at 0x000001E822022FD0>, <Card.Card object at 0x000001E82201FD90>, <Card.Card object at 0x000001E822022D00>]","[<Card.Card object at 0x000001E8220135B0>, <Card.Card object at 0x000001E822022490>]",15,False,False,0,
50,3D,3,18,False,False,"[<Card.Card object at 0x000001E82205E6A0>, <Card.Card object at 0x000001E8220226D0>, <Card.Card object at 0x000001E8220265E0>]","[<Card.Card object at 0x000001E82207D190>, <Card.Card object at 0x000001E8220744C0>]",17,False,False,0,
51,6S,6,26,True,False,"[<Card.Card object at 0x000001E822022CA0>, <Card.Card object at 0x000001E822022550>, <Card.Card object at 0x000001E822064CD0>]","[<Card.Card object at 0x000001E822074970>, <Card.Card object at 0x000001E82201BD30>]",13,False,False,0,
52,JH,10,26,True,False,"[<Card.Card object at 0x000001E82205E400>, <Card.Card object at 0x000001E822064940>, <Card.Card object at 0x000001E82200C910>, <Card.Card object at 0x000001E822022340>]","[<Card.Card object at 0x000001E822077460>, <Card.Card object at 0x000001E8220131F0>]",16,False,False,0,
53,4D,4,23,True,False,"[<Card.Card object at 0x000001E822082F10>, <Card.Card object at 0x000001E822074370>, <Card.Card object at 0x000001E82207DB20>]","[<Card.Card object at 0x000001E82201F100>, <Card.Card object at 0x000001E82207DC10>]",20,False,False,0,
